"","var","rel.inf"
"T_air","T_air",55.4341276891572
"v","v",17.0785211353855
"i0","i0",12.8360108653409
"P","P",6.3936767561054
"M_b","M_b",4.54987697232981
"M_th","M_th",1.1039360369003
"r","r",1.04999757717392
"alpha_th","alpha_th",0.264389505491768
"T_mK","T_mK",0.241628385662735
"s","s",0.129380777163881
"T_g","T_g",0.125180553888969
"f","f",0.107852420686453
"A_th","A_th",0.0932509040177955
"n","n",0.0881454344896244
"epsilon_e","epsilon_e",0.0624621455476807
"C_l","C_l",0.0597922953731477
"delta_T_h","delta_T_h",0.0574087114900007
"A_h","A_h",0.0564136822929341
"alpha_si","alpha_si",0.0487612927489005
"l_th","l_th",0.0484249023048438
"alpha_so","alpha_so",0.0391842522656312
"T_0","T_0",0.0360671288189809
"E","E",0.0332524612382942
"epsilon","epsilon",0.0323273347062684
"c","c",0.0299307794190146
